County,Sector,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Total Usage
SAN BENITO,Total,12.913052,12.168478,13.606191,13.583143,13.384805,13.338972,13.213103,13.587364,15.024155,16.124811,25.28529,23.512656,18.746,13.515761,20.563213,17.922321,18.732038,16.695706,14.313227,16.07907,14.504089,15.944935,14.862407,13.304641,16.393141,17.478555,414.797124
SAN BERNARDINO,Non-Residential,246.391937,237.130822,240.408195,237.225061,245.178934,232.574247,207.011595,237.195104,269.215506,289.24152,336.307817,293.208852,315.108144,273.493966,247.191746,550.214477,304.549993,285.071409,260.935557,267.813965,236.594536,257.082544,212.908414,189.38977,273.616187,272.317615,7017.377913
SAN BERNARDINO,Residential,223.939132,213.697183,262.938723,249.449765,271.01506,268.952945,256.151352,259.203544,258.420091,263.952064,262.285707,280.222265,259.676541,255.453661,260.996079,263.264073,218.835011,225.180605,193.418344,192.18751,194.540583,265.280625,270.918232,270.642561,264.71449,268.324216,6473.660362
SAN BERNARDINO,Total,470.331069,450.828005,503.346918,486.674826,516.193994,501.527192,463.162947,496.398648,527.635597,553.193584,598.593524,573.431117,574.784685,528.947627,508.187825,813.47855,523.385004,510.252014,454.353901,460.001475,431.135119,522.363169,483.826646,460.032331,538.330677,540.641831,13491.03828
SAN DIEGO,Non-Residential,208.874016,205.033963,219.498705,203.503272,201.909294,222.87116,206.135686,216.67299,215.129644,228.87668,208.857734,209.19974,210.960601,218.322971,214.662601,225.222709,233.82561,222.670719,212.806401,210.278955,205.202145,193.89021,321.351325,272.176269,252.946125,379.281267,5920.160792
SAN DIEGO,Residential,255.632102,256.576175,318.306133,311.180546,326.95061,337.913996,308.74749,324.69277,331.901692,345.376492,320.84,341.77,322.31,340.83,344.54,340.24,382.204392,355.593127,315.589284,317.043317,316.193149,343.816395,327.053252,313.662931,335.282095,337.914904,8472.160852
SAN DIEGO,Total,464.506118,461.610138,537.804838,514.683818,528.859904,560.785156,514.883176,541.36576,547.031336,574.253172,529.697734,550.96974,533.270601,559.152971,559.202601,565.462709,616.030002,578.263846,528.395685,527.322272,521.395294,537.706605,648.404577,585.8392,588.22822,717.196171,14392.32164
SAN FRANCISCO,Non-Residential,91.686596,96.020665,106.753439,107.057952,108.518331,110.120468,107.644075,110.128535,104.237182,110.133557,138.671386,124.87259,122.453613,199.10582,187.817096,98.070998,99.302303,94.205421,94.755412,92.660073,89.679705,96.203526,96.000715,90.801267,110.165013,112.710467,2899.776205
SAN FRANCISCO,Residential,121.867449,123.893148,149.963921,149.971624,153.271301,153.358458,152.136445,155.295303,152.228651,148.09414,144.931239,148.077488,149.918235,96.709859,126.7927,166.17125,187.2256,174.361865,156.122479,161.640346,162.252996,179.539688,167.783117,159.423291,184.028297,181.281991,4006.340881
SAN FRANCISCO,Total,213.554045,219.913812,256.71736,257.029576,261.789632,263.478926,259.78052,265.423838,256.465833,258.227697,283.602625,272.950078,272.371848,295.815679,314.609796,264.242248,286.527903,268.567286,250.877891,254.300419,251.932701,275.743214,263.783832,250.224558,294.19331,293.992458,6906.117085
SAN JOAQUIN,Non-Residential,113.874855,119.151518,142.348635,128.861048,119.051267,106.800302,107.905163,115.462107,115.28527,115.239298,118.800656,148.577862,190.93145,188.001363,206.686659,170.221357,187.691606,195.70126,170.944055,192.644697,185.725292,193.04952,195.569395,167.206541,190.626838,212.513963,4098.871977
SAN JOAQUIN,Residential,79.106618,77.098083,92.765085,90.497134,97.91501,93.210277,92.020825,90.908499,90.234114,89.366339,86.638614,89.951123,87.232303,52.740741,67.37172,88.576833,98.076037,94.0541,80.332182,79.755009,77.534089,89.824526,85.776358,79.108908,85.167464,85.254213,2220.516204
SAN JOAQUIN,Total,192.981474,196.249601,235.11372,219.358182,216.966277,200.010579,199.925988,206.370606,205.519384,204.605637,205.43927,238.528985,278.163753,240.742104,274.058379,258.79819,285.767643,289.75536,251.276237,272.399706,263.259381,282.874046,281.345753,246.315449,275.794302,297.768176,6319.388182
